source,target
ID1,ID9
ID1,ID10
ID1,ID14
ID1,ID15
ID1,ID22
ID1,ID23
ID1,ID24
ID1,ID29
ID1,ID30
ID2,ID10
ID2,ID16
ID2,ID22
ID2,ID27
ID2,ID28
ID2,ID30
ID3,ID7
ID3,ID12
ID3,ID30
ID3,ID32
ID4,ID6
ID4,ID9
ID4,ID10
ID4,ID22
ID4,ID23
ID4,ID24
ID4,ID29
ID5,ID13
ID5,ID31
ID6,ID4
ID6,ID10
ID6,ID17
ID6,ID18
ID6,ID23
ID6,ID25
ID6,ID26
ID6,ID27
ID6,ID29
ID7,ID3
ID7,ID12
ID7,ID30
ID7,ID31
ID8,ID25
ID8,ID26
ID8,ID32
ID9,ID1
ID9,ID4
ID9,ID15
ID9,ID23
ID9,ID24
ID9,ID25
ID9,ID26
ID9,ID29
ID10,ID1
ID10,ID2
ID10,ID4
ID10,ID6
ID10,ID14
ID10,ID22
ID10,ID23
ID10,ID24
ID10,ID29
ID11,ID24
ID12,ID3
ID12,ID7
ID12,ID19
ID12,ID20
ID12,ID22
ID13,ID5
ID13,ID21
ID13,ID31
ID13,ID32
ID14,ID1
ID14,ID10
ID14,ID23
ID14,ID24
ID14,ID29
ID15,ID1
ID15,ID9
ID15,ID22
ID15,ID25
ID15,ID28
ID15,ID30
ID16,ID2
ID17,ID6
ID17,ID20
ID17,ID26
ID17,ID30
ID17,ID32
ID18,ID6
ID19,ID12
ID19,ID30
ID19,ID32
ID20,ID12
ID20,ID17
ID21,ID13
ID21,ID32
ID22,ID1
ID22,ID2
ID22,ID4
ID22,ID10
ID22,ID12
ID22,ID15
ID22,ID23
ID22,ID24
ID22,ID26
ID22,ID29
ID23,ID1
ID23,ID4
ID23,ID6
ID23,ID9
ID23,ID10
ID23,ID14
ID23,ID22
ID23,ID24
ID23,ID26
ID23,ID29
ID24,ID1
ID24,ID4
ID24,ID9
ID24,ID10
ID24,ID11
ID24,ID14
ID24,ID22
ID24,ID23
ID24,ID29
ID25,ID6
ID25,ID8
ID25,ID9
ID25,ID15
ID25,ID26
ID25,ID29
ID25,ID32
ID26,ID6
ID26,ID8
ID26,ID9
ID26,ID17
ID26,ID22
ID26,ID23
ID26,ID25
ID26,ID29
ID27,ID2
ID27,ID6
ID27,ID28
ID28,ID2
ID28,ID15
ID28,ID27
ID28,ID30
ID29,ID1
ID29,ID4
ID29,ID6
ID29,ID9
ID29,ID10
ID29,ID14
ID29,ID22
ID29,ID23
ID29,ID24
ID29,ID25
ID29,ID26
ID30,ID1
ID30,ID2
ID30,ID3
ID30,ID7
ID30,ID15
ID30,ID17
ID30,ID19
ID30,ID28
ID30,ID31
ID30,ID32
ID31,ID5
ID31,ID7
ID31,ID13
ID31,ID30
ID31,ID32
ID32,ID3
ID32,ID8
ID32,ID13
ID32,ID17
ID32,ID19
ID32,ID21
ID32,ID25
ID32,ID30
ID32,ID31
