Customer,TransDate,Quantity,PurchAmount,Cost,TransID
115847,14.12.2006,1,19.95,7.6,125035114
133244,12.01.2008,1,24.95,7.5,126155264
140703,19.11.2009,1,14.95,6.45,127636466
150074,07.06.2006,1,79.95,40,128181677
165346,29.11.2011,1,89.95,25.2,131710450
106820,02.11.2008,4,159.8,64,128750061
173702,30.10.2011,1,19.95,9.5,128919147
195657,12.12.2011,1,129.95,37,131760071
199632,16.08.2011,1,9.95,12,132467209
186902,16.10.2009,1,49.95,24.25,129966852
176971,12.05.2008,1,24.95,5.85,129034427
160934,12.10.2010,1,59.95,27.5,128385126
188220,05.05.2010,1,79.95,35,131142892
196577,29.10.2011,1,79.95,32.47,131647686
161333,13.12.2010,1,59.95,30,128402275
121843,18.12.2007,1,119.95,59.62,125632600
147185,03.12.2010,1,39.95,11,127931796
153997,13.10.2010,1,59.95,24,128156730
132376,08.02.2012,1,79.95,21.98,131942990
108099,18.12.2007,1,129.95,58.39,124514131
122522,28.11.2007,1,49.95,14,125483335
164472,24.01.2010,1,39.95,15,131075650
127638,04.02.2008,1,89.95,44.98,125782463
177168,12.07.2008,1,59.95,24,129040309
150404,11.07.2010,1,39.95,16.98,131285893
154914,11.01.2010,1,79.95,13.5,128196673
150241,13.06.2010,1,29.95,10.3,128026406
110819,20.06.2006,1,24.95,10,124730063
149433,16.11.2005,1,59.95,26.08,128001702
141823,12.02.2009,1,59.95,24,127700119
177296,12.08.2008,2,49.9,21,129044204
132578,23.11.2008,1,59.95,16.95,126117301
150341,15.06.2010,1,59.95,23.81,128028840
174320,30.10.2008,1,59.95,24,128945430
197098,21.11.2011,1,39.95,13.5,131692993
106642,12.04.2007,1,89.95,41.6,124479639
100769,23.02.2005,1,2.95,1.56,124317536
146895,27.08.2011,1,29.95,13.8,131589639
196611,11.02.2011,1,49.95,14.15,131652024
134891,11.02.2009,1,179.95,85.78,127587231
136487,15.02.2009,1,4.95,3.6,126355076
150910,12.05.2005,1,299.95,137.89,128044528
196500,22.10.2011,2,49.9,14.5,131639066
196093,17.10.2011,1,59.95,23.99,131630810
194553,30.12.2010,1,149.95,70,131419335
153981,21.10.2007,1,39.95,13,128558255
193719,12.02.2010,1,29.95,13,131350471
142381,12.05.2009,1,29.95,17.95,127726782
167771,17.05.2011,1,29.95,12.35,128660993
189886,27.11.2009,1,99.95,45,130985305
191214,04.02.2010,1,299.95,110,131122547
176949,30.11.2011,1,4.95,1.08,129033927
126731,20.12.2008,1,24.95,10,129082989
166243,15.11.2007,1,249.95,99.45,128606525
156228,12.07.2011,1,89.95,43.96,131737803
151475,12.12.2005,1,39.95,18,128062216
111375,21.08.2006,1,99.95,59.99,124774948
132899,27.11.2009,1,49.95,22,127670423
128276,05.06.2008,1,79.95,39.13,125822995
169197,20.06.2011,1,29.95,8.4,128712092
126032,01.03.2008,1,99.95,49,125666468
141745,12.01.2009,1,29.95,10.85,127695655
180459,11.04.2010,1,99.95,26,131281705
113221,19.11.2006,1,59.95,19.81,124900873
148971,05.08.2010,1,299.95,118.43,127988176
108150,11.04.2010,1,69.95,34.78,131281094
160631,01.09.2007,1,399.95,175,128374828
149302,13.05.2008,1,179.95,81.38,128812592
178289,12.05.2011,1,4.95,1.08,129078154
124777,12.12.2007,1,49.95,10,125592077
151916,31.07.2010,1,39.95,17.4,128075827
150764,27.06.2010,1,59.95,24,128041124
153295,15.03.2006,1,149.95,79,128127970
127432,05.11.2008,1,23.95,15.56,125828117
194287,14.12.2010,1,69.95,29.4,131395187
121790,19.11.2007,1,299.95,166,125441700
149658,20.11.2005,1,59.95,26.85,128008699
186108,09.02.2012,1,19.95,9.5,129573937
110275,05.07.2006,1,69.95,34.38,124693206
154239,20.10.2010,1,29.95,17.95,128166641
105287,13.06.2010,1,39.95,18.66,131169989
151793,12.11.2008,1,39.95,17,129057780
111012,13.07.2006,1,29.95,14,124746492
144147,16.12.2009,1,29.95,7.29,127814367
151717,25.07.2010,1,99.95,52.66,128069415
111707,14.09.2006,1,19.95,15.9,124795804
144674,07.08.2006,1,59.95,30,128182513
113501,25.11.2006,1,34.95,13.5,124917611
193499,29.11.2010,1,79.95,35,131334105
104767,19.11.2005,1,24.95,12.5,124437048
113645,26.11.2006,1,24.95,12.5,124925581
160191,17.12.2006,1,59.95,19.81,128359919
102418,27.09.2007,1,3.95,1.73,128539160
182505,17.10.2009,2,79.9,22.46,129271977
146071,26.04.2005,1,9.95,1,127893606
149297,17.06.2006,1,159.95,81.11,128173269
159698,12.10.2007,1,99.95,40,128683847
129571,15.07.2008,1,399.95,200,125914325
157340,16.11.2006,1,79.95,36,128278733
198200,01.03.2012,1,199.95,71.15,131794516
